visit_id,domain,url,run_url,status,lang,banners,btn_status,btn_set_status,interact_time,ttw,__cmp,__tcfapi,__tcfapiLocator,cmp_id,cmp_name,pv,nc_cmp_name,dnsmpi,body_html,site_rank,interact_mode,goal,with_sub
,,,,,,,,,,,False,False,False,,,False,,,,b'',b'',b'',b''
1.0,youtube.com,https://youtube.com,https://www.youtube.com/,0.0,en,1.0,1.0,0.0,1736332471157.7002,1736332444567.038,False,False,False,,,False,,,,1,1,something,False
